-- Logs begin at Fri 2017-11-03 13:31:21 UTC, end at Fri 2017-11-03 13:48:19 UTC. --
Nov 03 13:48:01 minion2 kubelet[1334]: E1103 13:48:01.421270    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:58 minion2 kubelet[1334]: E1103 13:47:58.415013    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:58 minion2 kubelet[1334]: E1103 13:47:58.414913    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:58 minion2 kubelet[1334]: E1103 13:47:58.414780    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:55 minion2 kubelet[1334]: E1103 13:47:55.408338    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:55 minion2 kubelet[1334]: E1103 13:47:55.408256    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:55 minion2 kubelet[1334]: E1103 13:47:55.408141    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:52 minion2 kubelet[1334]: E1103 13:47:52.402141    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:52 minion2 kubelet[1334]: E1103 13:47:52.402049    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:52 minion2 kubelet[1334]: E1103 13:47:52.401944    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
